,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,target
766,1,0,0,3,1,0,1,71,6,0,0,0,0,120.0,0,0
767,2,0,1,0,1,0,1,69,10,1,0,0,0,68.72,1,0
768,2,0,0,3,1,0,4,74,9,1,0,0,0,124.04,1,0
769,1,0,1,0,1,0,1,4,9,0,0,0,0,98.1,0,1
770,1,0,2,1,1,0,1,1,10,1,0,0,0,154.0,1,0
771,2,0,0,2,0,0,1,87,6,0,0,0,0,72.25,0,0
772,2,0,0,1,0,0,1,71,6,1,0,0,0,116.1,0,1
773,2,1,0,3,1,0,1,42,3,0,0,0,0,76.05,1,0
774,2,0,0,1,1,0,1,105,4,0,0,0,0,75.0,0,1
775,2,0,1,1,1,0,1,33,1,2,0,0,0,64.0,0,0
776,2,0,1,1,1,0,4,18,5,1,0,0,0,158.0,3,0
777,1,0,1,1,1,0,4,17,9,1,0,0,0,114.73,1,0
778,2,0,2,2,1,0,1,153,7,1,0,0,0,108.45,1,1
779,2,0,2,2,1,0,7,16,5,1,0,0,0,194.58,2,0
780,1,0,1,2,2,0,4,68,8,1,0,0,0,183.6,0,1
781,2,0,1,0,0,0,1,65,10,1,0,0,0,72.09,1,1
782,2,0,0,2,1,0,1,56,11,1,0,0,0,97.2,0,0
783,2,0,0,2,1,0,1,35,12,1,0,0,0,93.6,0,1
784,2,0,0,3,1,0,1,103,5,0,0,0,0,80.0,0,0
785,2,0,1,4,1,0,4,18,4,1,0,0,0,107.25,1,0
786,2,0,1,2,1,0,1,267,9,0,0,0,0,95.0,0,1
787,1,0,0,2,1,0,4,57,10,1,0,0,0,139.5,1,1
788,3,0,0,3,1,0,4,55,9,1,0,0,0,168.3,0,1
789,2,0,2,3,1,0,4,86,8,1,0,0,0,82.45,0,1
790,2,0,1,1,1,0,2,93,10,1,0,0,0,81.5,2,0
791,1,0,0,1,1,0,1,4,1,1,0,0,0,80.0,0,0
792,2,0,2,2,1,0,4,83,4,1,0,0,0,103.7,0,0
793,2,0,2,1,2,0,1,150,1,0,0,0,0,101.0,0,0
794,2,0,0,3,1,0,1,193,10,1,0,0,0,65.0,0,1
795,2,0,1,2,1,0,4,12,2,1,1,11,21,108.0,1,0
796,2,0,1,0,0,0,1,28,10,1,0,0,0,126.0,0,1
797,2,0,1,4,1,0,2,36,10,1,0,0,0,81.62,1,0
798,1,0,0,1,1,0,1,1,3,2,1,0,11,65.0,1,0
799,1,0,2,3,1,0,1,10,11,0,0,0,0,99.0,0,0
